source,absolute_burden_shift_ge_10pp_percent,stable_policy_coverage_percent
SICdb,54.23841059602649,52.676531890600955
MIMIC-IV,51.45049148885159,51.568699786460826
eICU,45.50293889320173,51.226281326831725
