source,analysis,estimate_percent,ci_low_percent,ci_high_percent,people
eICU,first24_min1,13.996519003518411,13.611106334187722,14.379902921599069,19784
eICU,fullstay_min3,13.228789549575277,12.924612585169712,13.526407168603646,14261
MIMIC-IV,first24_min1,12.862657163245192,12.301882728248525,13.406192794447486,9100
MIMIC-IV,fullstay_min3,12.767509353945048,12.399112326678605,13.136887749457852,8512
SICdb,first24_min1,14.893578814418444,13.842577727689411,15.89850030076957,2213
SICdb,fullstay_min3,15.320377561672343,14.597236406222045,16.06095641107041,2797
