hospital_key_hash,people,ccd_percent
14d3b82bc1eca2afb287b9e9,50,21.052705795062035
1409cb2ce92766eca2c024a4,50,9.249586876066692
f2c093253c1907109325eb1f,50,12.267478518278551
745a882a931ce1138a5c93c6,50,12.15969820797407
ce64ca607240f62cb53202d6,53,12.11098989651858
5a2baa9558a1cca7fe56800f,53,17.637295215381677
a58ed507864e463fdea0009c,55,12.499165179944159
a76af8e94444f5dafbe3a054,58,10.606900391995167
1a2ccbf6ded0d5591d3f3d59,59,10.78119248736872
54b12497024ad9eece79408b,60,11.210029743161549
fa7e1cf013addfebc463bced,62,17.680562064535238
10435ad7b3571f8b334866e5,64,14.227972760910754
7ce7b3412554322a31a4c53b,66,15.6924461350684
2292e0e34e944f9b2a8d4485,67,16.629314785398872
377ac11f53f5ae74d9f66ec8,69,10.87271886704667
d205b076410d784ecc2df571,70,18.939769116413856
d88feab14279387d01465d39,72,16.427475371649898
6e7afb2a679006388816148a,73,14.8090014261603
3caf303f323f503832a99a2e,79,14.420451217441627
09f1958b246b1b2a31727a67,80,14.495600421322674
c16a222b30893b44f4628339,84,16.01396185159211
07331a4d302bac17ba378786,85,8.724031723485375
7cb1fb1100f3f3cfe855ea2b,87,4.160942027101445
fc89e401b83410e224d2c9d2,91,8.44509135332332
a38e6e2bc53446ad6ae58f98,97,13.758400503146515
33bce63715d6bf2819e584dd,101,17.241130710830273
a6204ca18d5ea894307adb09,102,18.194778573984355
36da8bf87c879965f86214a6,106,8.17608385671117
c77d8d96e6fb54267fb27ce7,109,16.524943986584283
93155338306a20f2f5b99b2c,110,12.121448321390034
c1f5a5d522ed83f78354c0ee,111,15.749096965635188
3dc894a9379cfeae8e075899,115,14.95349679956762
830bffd99ae5444dae3a4ca2,115,9.974514665202442
0fc237c94bc7c06dfb80d84b,119,12.493663703412182
ad40d6a24504c60bfac3e605,122,12.599741256419215
ec2896a1474d4c6948ad1b49,128,17.170241177180692
7e7014d633a5f3346401a3da,136,15.777880373405791
3f23c8e5a2a791ff1c68e082,137,12.641873116628203
bba51b7f8df051e3652ad980,137,15.427379646970627
d47249a6f36615407b46f216,142,10.80827687478933
225d3a1828774bf25e7ead53,144,10.653818484676563
118e9fa2e6c17dc478809e85,147,11.821864767020482
c096210f0e171dfe9a298a75,154,13.497165546832141
5b7ef0cd8d32118c5503b060,160,10.02454717811424
c3b0f81fa4d573cd42bda1fa,161,13.166204514820427
a5e439a240ace6e2f5dd7cf8,171,15.755948888818102
63257df3d3fe589af583f4d3,173,14.158736353990367
65b8382d12d7026db24dcea2,182,9.461933775378768
10ca338a01158776db692afc,216,15.836364282750292
241eb010e93a1456928be580,230,19.260931358524424
66b61575c903e7055f8403af,234,14.43524216840752
953c3eae05bc87d96d835c79,248,12.29877120185657
548b679b70dd1cffa5f4232a,253,13.54941094781547
5f9d15c052256999f25c157f,286,13.667282397192846
a2029014340fffde5ea67779,301,11.19064305733193
080bbe4b173e4bb301c1607a,357,12.544357141319743
8a66b476202a9df5931f37d8,372,12.220582436839836
801d5a2a3707a80769addf62,392,10.543185524213124
