source,analysis,people,pairs,ccd_fraction,ci_low,ci_high,pair_weighted_ccd,pairs_per_person_median,pairs_per_person_p25,pairs_per_person_p75
eicu,first24_min1,19784,182138,0.13996519003518412,0.13611106334187723,0.1437990292159907,0.12270915459706376,2.0,1.0,9.0
eicu,fullstay_min3,14261,431246,0.13228789549575276,0.12924612585169712,0.13526407168603646,0.11517556104868219,10.0,4.0,30.0
