source,policy,model,people,deaths,estimand,estimate,ci_low,ci_high
eicu,any_sensor,age_sex,7292,1071,risk_0.00,0.10894918625165793,0.09720350697941996,0.12136923619089135
eicu,any_sensor,age_sex,7292,1071,risk_0.10,0.12328573934220169,0.11312207750489382,0.1345757205757733
eicu,any_sensor,age_sex,7292,1071,risk_0.25,0.14042306606463942,0.12493386735525591,0.1568059328834061
eicu,any_sensor,age_sex,7292,1071,risk_0.50,0.15463778658177818,0.13850238525645578,0.17124878033593677
eicu,any_sensor,age_sex,7292,1071,average_marginal_risk_difference,0.01220402136630871,0.008268713979829768,0.016031532419583404
eicu,any_sensor,age_sex_severity,6490,961,risk_0.00,0.15187389025135586,0.13669619978579223,0.16761348294553333
eicu,any_sensor,age_sex_severity,6490,961,risk_0.10,0.1383696684514836,0.12686557565659215,0.14996364306577264
eicu,any_sensor,age_sex_severity,6490,961,risk_0.25,0.12741293263367798,0.11218553813794624,0.14289267931011135
eicu,any_sensor,age_sex_severity,6490,961,risk_0.50,0.13645230927211496,0.122720960518526,0.14999389690910014
eicu,any_sensor,age_sex_severity,6490,961,average_marginal_risk_difference,-0.0006387554644089531,-0.004572758197650564,0.003060009156862537
eicu,arterial_only,age_sex,7292,1071,risk_0.00,0.11362878876273977,0.10357533381944667,0.12407674146331198
eicu,arterial_only,age_sex,7292,1071,risk_0.10,0.13933166853252113,0.12683381933934218,0.15178127080119094
eicu,arterial_only,age_sex,7292,1071,risk_0.25,0.15965820089374846,0.14196181899749633,0.1763426382902205
eicu,arterial_only,age_sex,7292,1071,risk_0.50,0.16212379030008328,0.14098659376082834,0.1830848989618185
eicu,arterial_only,age_sex,7292,1071,average_marginal_risk_difference,0.018293938623108755,0.011974256912380816,0.0240044568199934
eicu,arterial_only,age_sex_severity,6490,961,risk_0.00,0.14992068943308207,0.13707223649186281,0.16236076566952012
eicu,arterial_only,age_sex_severity,6490,961,risk_0.10,0.13933863835006685,0.12694839284773937,0.15155163318382167
eicu,arterial_only,age_sex_severity,6490,961,risk_0.25,0.13085109693765898,0.11542121926833018,0.14494643353333597
eicu,arterial_only,age_sex_severity,6490,961,risk_0.50,0.1380632861216008,0.12086448537020038,0.1548039995719526
eicu,arterial_only,age_sex_severity,6490,961,average_marginal_risk_difference,-0.002209393782692921,-0.0073638893235471676,0.0030473416205805868
eicu,concordant_only,age_sex,6741,973,risk_0.00,0.12440679555188167,0.11440364313614362,0.13497589592614206
